start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
,9/9/2017,India,"It only affected one city, county, or village",Ramganj and other parts of Jaipur city in Rajasthan state,Shutdown,"Broadband, Mobile",Full network,Local government,,Other,,News media article,https://www.thequint.com/news/india/jaipur-ramganj-violence-curfew,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,A mob of locals sorrounded a police station broke out after a police brutality incident and fighting broke out. A curfew was imposed as well.,,APAC
,9/9/2017,India,"It only affected one city, county, or village",Sopore town of Baramula district in Jammu and Kashmir,Shutdown,"Broadband, Mobile",Full network,Unknown,,Political instability,,News media article,http://www.greaterkashmir.com/news/kashmir/gunfight-rages-in-sopore-in-north-kashmir-internet-suspended-schools-closed/259772.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,A gunfight between militants and security forces broke out in Sopore.,,APAC
,9/11/2017,India,"It affected more than one city in the same state, province, or region",Kulgam and Anantnag districts of Jammu and Kashmir,Shutdown,"Broadband, Mobile",Full network,Unknown,,Political instability,,News media article,http://www.greaterkashmir.com/news/kashmir/khudwani-gunfight-internet-services-suspended-in-kulgam-anantnag-districts/259939.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,Killing of two Hizb ul Mujahideen militants by security forces.,,APAC
,9/21/2017,India,"It only affected one city, county, or village",Agartala city,Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,"https://www.outlookindia.com/website/story/internet-services-suspended-in-tripura-after-journalist-santanu-bhowmik-hacked-t/301994, https://www.time8.in/internet-and-cellular-services-restored-in-tripura-after-midnight/",,9/25/2017,4,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,9/26/2017,India,"It only affected one city, county, or village","north Kashmir’s Baramulla district, including Sopore town",Shutdown,"Broadband, Mobile",Full network,Local government,,Political instability,,News media article,http://www.greaterkashmir.com/news/kashmir/najar-killing-aftermath-internet-service-suspended-in-sopore-baramulla/261359.html,,,,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,,,,,,,,,,,,,,,,,,,,,,,,,killing of top militant commander Abdul Qayoom Najar.,,APAC
,9/28/2017,India,"It affected more than one city in the same state, province, or region","Nawada district, Bihar state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,http://www.hindustantimes.com/india-news/internet-services-suspended-after-tension-grips-bihar-s-nawada/story-2calpmcLIMdGhb5uGlyUAK.html,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,9/28/2017,Pakistan,"It only affected one city, county, or village","Various cities in Sindh: Karachi, Jacobabad, Shikarpur, Kashmore, Khairpur, Haripur, DI Khan and Lakki Marwat, among other areas.",Shutdown,"Broadband, Mobile","Full network, Service-based",Local government,,Unknown,,News media article,https://www.geo.tv/latest/160657-muharram-10th-juloos-to-head-out-early-morning-from-karachis-nishtar-park,,10/4/2017,6,Public safety/ Quell unrest/ Restore public order,,,,,,,,,,,,,,,,,,,,,,,,,,"Serious of holidays including Ashura. Mass parades. Mobile only in most places, full shutdown in parts of Karachi",,APAC
,9/30/2017,Cameroon,"It affected more than one city in the same state, province, or region",Anglophone region,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,,Protests,,News media article,http://www.africanews.com/2017/09/30/cameroon-blocks-social-media-access-in-restive-english-speaking-regions/,,4/1/2018 upon CAF visit,,Unknown,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Mass protest against alleged marginalization by Francophone majority.,https://www.accessnow.org/keepiton-coalition-letter-government-cameroon/,Africa
,10/1/2017,India,"It affected more than one city in the same state, province, or region","Arwal, Jamui, Bhojpur, Katihar, Sitamarhi, and West Champaran districts in Bihar state",Shutdown,"Broadband, Mobile",Full network,Unknown,,Unknown,,News media article,https://timesofindia.indiatimes.com/city/patna/internet-services-suspended-in-7-districts/articleshow/60929053.cms,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAC
,10/23/2017,Pakistan,"It only affected one city, county, or village",Islamabad & Rawalpindi,Shutdown,"Broadband, Mobile",Full network,Unknown,,Other,,Other,http://killswitch.pk/?q=node/70,,10/23/2017,0,Unknown,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Gathering of Jeep owners driving into Islamabad for a festival,,APAC
